"Group_ID","Category","Question","Reponse Attendue","Context Info"
"1","Vérification intérieure","Montrez la commande De réglage de hauteur des feux","Dispositif situé en général à gauche du volant","Éclairage : Vérifiez régulièrement la propreté et le fonctionnement. Un feu grillé = mauvaise perception par les autres."
"1","Sécurité routière","Pourquoi doit-on régler la hauteur des feux ?","Pour ne pas éblouir les autres usagers","Visibilité : Ne pas régler ses feux éblouit les autres usagers et peut provoquer un accident frontal."
"1","Premiers secours","Comment et pourquoi protéger une zone de danger en cas d’accident de la route ?","En délimitant clairement et largement la zone de danger de façon visible pour protéger les victimes et éviter un sur-accident","PAS : Protéger est la 1ère étape. Balisez la zone (gilet, triangle) pour éviter un sur-accident."
"2","Vérification extérieure","Montrez où s'effectue le remplissage du produit lave-glace","Le candidat ouvre le capot et montre le bocal. Si le candidat a des difficultés pour ouvrir le capot, l'accompagnateur peut lui indiquer comment procéder","Visibilité : En hiver, utilisez un liquide antigel. Sans visibilité, vous êtes un danger pour vous et les autres."
"2","Sécurité routière","Pourquoi est-il préférable d'utiliser un liquide spécial en hiver ?","Pour éviter le gel du liquide","Sécurité Routière : Ces questions testent votre capacité à évaluer les risques et à adapter votre comportement."
"2","Premiers secours","Quels comportements adopter en cas de diffusion du signal d’alerte du Système d’Alerte et d’Information des Populations (SAIP) ?","- Se mettre en sécurité. - S'informer grâce aux médias et sites internet des autorités dès que leur consultation est possible. - Respecter les consignes des autorités","Alerte : Le SAIP avertit d'un danger grave (sirène montante/descendante). Mettez-vous à l'abri et écoutez la radio."
"3","Vérification intérieure","Mettez le rétroviseur intérieur en position ""nuit"". Si le rétroviseur de l'accompagnateur gène la manipulation du dispositif, l'explication suffit","Si le véhicule possède un système automatique de mise en position ""nuit"" du rétroviseur intérieur, le candidat l'indique","Rétroviseurs : La position nuit évite l'éblouissement. Le réglage doit être fait avant de prendre la route."
"3","Sécurité routière","Quel est l’intérêt de la position nuit ?","Ne pas être ébloui par les feux du véhicule suiveur","Conduite de nuit : L'éblouissement fatigue les yeux. Utilisez la position nuit du rétro et baissez vos feux si besoin."
"3","Premiers secours","Comment est composé le signal d’alerte du Système d’Alerte et d’Information des Populations (SAIP) diffusé par les sirènes ?","Il se compose de deux codes distincts : - le Signal National d’Alerte (SNA), variation du signal sur trois cycles successifs. - Le signal de fin d’alerte, signal continu","Alerte : Le SAIP avertit d'un danger grave (sirène montante/descendante). Mettez-vous à l'abri et écoutez la radio."
"4","Vérification extérieure","Contrôlez l'état du flanc sur l'un des pneumatiques","En bon état (toute anomalie doit être signalée)","Pneumatiques : Vérifiez l'état (flancs, hernies) et l'usure (témoins). Sous-gonflage = éclatement et surconsommation."
